Date,Time,Grid,Sex,B_length,B_width,Tusk,Mass,Capt,ID,trap_X,trap_Y
5/5/15,17:00,1,m,23.1,12.2,2.75,0.823,n,65,8,5
5/5/15,17:00,1,m,22.5,11.85,1.9,0.74,n,66,1,3
5/5/15,17:00,1,m,22.75,11.95,2.25,0.762,n,67,9,8
5/5/15,17:00,1,m,19.6,10.55,1.1,0.545,n,68,9,9
5/5/15,17:00,1,m,24.75,12.8,3.1,0.865,n,69,2,4
5/5/15,17:00,1,m,24.3,13.25,3.15,0.875,n,70,10,2
5/5/15,17:00,1,m,24.3,12.8,3.2,0.922,n,71,10,4
5/5/15,17:00,1,m,23.55,11.95,2.3,0.82,n,72,3,7
5/5/15,17:00,1,f,20.7,11.65,,0.792,n,73,7,9
5/5/15,17:00,1,m,23.2,12.4,2.2,0.804,n,74,4,8
5/5/15,17:00,1,f,18.2,10.4,,0.519,n,75,9,6
5/6/15,11:00,1,f,,,,,r,75,7,5
5/6/15,12:00,1,f,,,,,r,75,8,4
5/6/15,14:00,1,f,,,,,r,75,8,4
5/6/15,16:00,1,f,,,,,r,75,7,4
5/11/15,19:00,1,f,,,,,r,75,2,2
5/5/15,17:00,1,m,21.45,11.85,1.95,0.758,n,76,5,7
5/5/15,17:00,1,m,21.8,11.6,1.9,0.724,n,77,8,8
5/5/15,17:00,1,m,21.4,11.7,1.65,0.621,n,78,11,6
5/5/15,17:00,1,m,22.7,12.7,2.7,0.923,n,79,9,4
5/5/15,17:00,1,m,23.55,12.65,3.05,0.872,n,80,6,4
5/5/15,17:00,1,m,19.55,10.5,1,0.535,n,81,6,3
5/5/15,17:00,1,m,,,,,n,82,7,1
5/5/15,17:00,1,f,,,,,n,83,4,6
5/5/15,17:00,1,f,,,,,n,84,11,9
5/5/15,17:00,1,f,,,,,n,85,6,2
5/5/15,17:00,1,m,,,,,n,86,9,9
5/5/15,17:00,1,m,22.9,12.3,2.75,0.817,n,87,8,10
5/6/15,11:00,1,m,,,,,r,87,2,7
5/11/15,18:00,1,m,,,,,r,87,5,10
5/5/15,17:00,1,m,,,,,n,88,4,8
5/6/15,16:00,1,m,,,,,r,88,3,7
5/5/15,17:00,1,m,23.25,12.6,2.75,0.883,n,89,3,1
5/6/15,11:00,1,m,,,,,r,89,6,5
5/6/15,13:00,1,m,,,,,r,89,5,4
5/6/15,14:00,1,m,,,,,r,89,4,3
5/5/15,17:00,1,m,24.95,12.5,3,0.825,n,90,10,4
5/6/15,11:00,1,m,,,,,r,90,10,4
5/5/15,17:00,1,m,,,,,n,91,9,10
5/5/15,17:00,1,m,,,,,n,92,7,8
5/5/15,17:00,1,m,,,,,n,93,10,7
5/5/15,17:00,1,m,,,,,n,94,11,10
5/5/15,17:00,1,m,,,,,n,95,10,4
5/5/15,17:00,1,m,,,,,n,96,11,11
5/5/15,17:00,1,f,,,,,n,97,10,4
5/6/15,11:00,1,f,19.5,11.2,,0.64,n,98,9,5
5/6/15,16:00,1,f,,,,,r,98,9,5
6/1/15,16:00,1,f,20.5,11.2,,0.668,r,98,5,5
6/1/15,18:00,1,f,,,,,r,98,5,5
6/2/15,13:00,1,f,,,,,r,98,4,3
5/6/15,11:00,1,f,17.65,9.9,,0.467,n,99,5,8
5/6/15,11:00,1,m,20.95,11.35,1.75,0.71,n,100,3,2
5/6/15,13:00,1,m,,,,,r,100,3,2
5/6/15,11:00,1,m,25.15,13.2,3,0.98,n,101,2,2
5/6/15,13:00,1,m,,,,,r,101,2,1
5/6/15,11:00,1,f,19.4,11,,0.671,n,102,6,9
5/29/15,14:00,1,f,19.9,,,,r,102,6,10
5/6/15,11:00,1,m,24.7,12.9,2.8,0.963,n,103,5,11
5/6/15,12:00,1,m,25.15,13.05,3.1,1.053,n,104,10,4
5/6/15,16:00,1,m,,,,,r,104,8,1
6/1/15,18:00,1,m,,,,,r,104,7,5
5/6/15,12:00,1,f,20.5,11.5,,0.675,n,105,6,10
5/6/15,14:00,1,f,,,,,r,105,6,10
5/11/15,17:00,1,f,,,,,r,105,6,10
5/6/15,12:00,1,f,21.25,11.3,,0.708,n,106,11,5
5/6/15,12:00,1,f,20.15,11.15,,0.661,n,107,6,5
5/6/15,12:00,1,m,25.05,12.95,3.05,0.95,n,108,5,9
5/6/15,12:00,1,f,22.6,12.7,,0.646,n,109,5,10
5/12/15,19:00,1,f,,,,,r,109,2,8
5/6/15,12:00,1,f,20.65,11.6,,0.756,n,110,3,2
6/1/15,17:00,1,f,,,,,r,110,2,1
5/6/15,12:00,1,f,21.35,11.6,,0.792,n,111,5,5
5/6/15,12:00,1,m,25.8,13.35,3.25,1.09,n,112,2,7
5/6/15,13:00,1,f,20.65,11.45,,0.764,n,113,5,9
5/6/15,13:00,1,m,20.95,11.4,1.9,0.652,n,114,11,10
5/6/15,14:00,1,f,20.6,11.2,,0.675,n,115,9,9
5/6/15,14:00,1,m,21.95,11.55,2.3,0.681,n,116,9,2
5/6/15,14:00,1,m,19.3,10.5,0.9,0.545,n,117,5,6
5/6/15,15:00,1,f,19.9,10.85,,0.64,n,118,2,7
5/6/15,15:00,1,m,20.5,11.2,1.6,0.66,n,119,7,6
5/6/15,15:00,1,m,22.4,11.7,2.65,0.738,n,120,11,2
5/6/15,16:00,1,m,24.05,12.8,2.7,0.968,n,121,9,4
5/6/15,16:00,1,m,21.85,11.65,1.85,0.745,n,122,7,7
5/6/15,16:00,1,m,24.35,12.95,3.1,0.901,n,123,10,5
5/6/15,16:00,1,f,20.55,11.25,,0.645,n,124,10,9
5/11/15,17:00,1,m,25.3,12.85,3.15,0.96,n,125,6,6
5/11/15,19:00,1,m,,,,,r,125,8,5
5/12/15,18:00,1,m,,,,,r,125,5,10
5/11/15,17:00,1,m,21.7,11.5,2.05,0.65,n,126,8,4
5/11/15,19:00,1,m,,,,,r,126,9,4
5/12/15,18:00,1,m,,,,,r,126,8,6
5/12/15,19:00,1,m,,,,,r,126,9,8
5/11/15,18:00,1,m,20.5,10.85,1.2,0.63,n,127,5,8
5/11/15,18:00,1,m,18.1,9.65,0.6,0.404,n,128,8,7
5/11/15,19:00,1,m,25.9,13.3,3.5,1.07,n,129,5,8
5/11/15,19:00,1,m,20.35,10.8,1.25,0.597,n,130,8,4
5/11/15,19:00,1,f,21.9,11.6,,0.711,n,131,8,6
5/29/15,11:00,1,f,,,,,r,131,10,3
5/12/15,18:00,1,m,22.2,11.85,2.4,0.773,n,132,4,5
5/12/15,19:00,1,m,21.9,11.8,2.2,0.723,n,133,4,8
5/12/15,19:00,1,m,24,12.3,2.7,0.876,n,134,5,7
5/29/15,12:00,1,m,,,,,r,134,3,1
5/12/15,19:00,1,m,22.4,11.7,2,0.671,n,135,5,8
5/13/15,19:00,2,m,22.7,11.7,2.3,0.675,n,136,4,6
5/14/15,13:00,2,m,18.8,10.35,0.7,0.516,n,137,1,6
5/14/15,15:00,2,m,,,,,r,137,1,5
5/19/15,12:00,2,m,,,,,r,137,2,5
5/14/15,14:00,2,m,25,13.25,3.15,0.951,n,138,4,10
5/14/15,14:00,2,f,21.55,11.65,,0.838,n,139,11,9
5/14/15,15:00,2,m,20.55,11,1.2,0.552,n,140,1,9
5/14/15,15:00,2,f,21.5,11.75,,0.523,n,141,7,6
5/19/15,11:00,2,f,,,,,r,141,1,5
5/18/15,16:00,2,f,22,12.25,,0.761,n,142,2,8
5/18/15,18:00,2,f,,,,,r,142,2,8
